sample_index,path,true_label,true_index,pred_label,pred_index,fall_probability_max,fall_probability_mean,fall_probability_final,best_window_start,best_window_end,num_windows,num_frames,num_pose_frames,pose_detection_rate,cache_hit
1,F:\GP_Dataset\activities2\Subject06\Activity08\Trial1\Subject6Activity8Trial1Camera1,non_fall,0,fall,1,0.9583866596221924,0.07251731610401553,8.839246584102511e-05,666,737,46,866,866,1.0,False
2,F:\GP_Dataset\activities2\Subject06\Activity08\Trial1\Subject6Activity8Trial1Camera2,non_fall,0,non_fall,0,0.2627812325954437,0.007013633317028055,7.619419193360955e-05,90,161,46,866,866,1.0,False
3,F:\GP_Dataset\activities2\Subject06\Activity09\Trial1\Subject6Activity9Trial1Camera1,non_fall,0,non_fall,0,1.2676667493494165e-09,2.408880217754355e-10,1.0757332524757857e-10,0,71,6,146,146,1.0,False
4,F:\GP_Dataset\activities2\Subject06\Activity09\Trial1\Subject6Activity9Trial1Camera2,non_fall,0,non_fall,0,0.006801524665206671,0.0011544220205606194,4.005646508931093e-11,36,107,6,146,146,1.0,False
5,F:\GP_Dataset\activities2\Subject06\Activity10\Trial1\Subject6Activity10Trial1Camera1,non_fall,0,non_fall,0,2.82977481447233e-08,1.3255970892530715e-09,2.1743884470737385e-10,216,287,22,440,440,1.0,False
6,F:\GP_Dataset\activities2\Subject06\Activity10\Trial1\Subject6Activity10Trial1Camera2,non_fall,0,non_fall,0,2.3616553157523867e-09,1.1655017198203374e-10,3.6539507530797266e-11,0,71,22,440,440,1.0,False
7,F:\GP_Dataset\activities2\Subject06\Activity11\Trial1\Subject6Activity11Trial1Camera1,non_fall,0,non_fall,0,5.38810490979813e-06,3.08328920683304e-07,1.0374421322012495e-08,702,773,46,879,878,0.9988623435722411,False
8,F:\GP_Dataset\activities2\Subject06\Activity11\Trial1\Subject6Activity11Trial1Camera2,non_fall,0,non_fall,0,2.880614413669491e-09,9.870034222618721e-11,5.2104004214319257e-17,306,377,46,879,878,0.9988623435722411,False
9,F:\GP_Dataset\activities2\Subject07\Activity06\Trial1\Subject7Activity6Trial1Camera1,non_fall,0,fall,1,0.9999998807907104,0.10753216707800657,1.9083665847574593e-06,612,683,59,1121,863,0.7698483496877788,False
10,F:\GP_Dataset\activities2\Subject07\Activity06\Trial1\Subject7Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.21734820250963197,0.26927095651626587,612,683,60,1121,1112,0.991971454058876,False
