threshold,accuracy,nonfall_recall,fall_precision,fall_recall,fall_f1,tn,fp,fn,tp
0.1,0.9067278287461774,0.5755395683453237,0.8968531468531469,0.996116504854369,0.9438822447102115,80,59,2,513
0.2,0.908256880733945,0.5971223021582733,0.9012345679012346,0.9922330097087378,0.944547134935305,83,56,4,511
0.3,0.9128440366972477,0.6330935251798561,0.9089285714285714,0.9883495145631068,0.9469767441860465,88,51,6,509
0.4,0.9143730886850153,0.6402877697841727,0.9105545617173524,0.9883495145631068,0.9478584729981379,89,50,6,509
0.5,0.9159021406727829,0.6474820143884892,0.9121863799283154,0.9883495145631068,0.9487418452935694,90,49,6,509
0.6,0.918960244648318,0.6690647482014388,0.9169675090252708,0.9864077669902913,0.950420954162769,93,46,7,508
0.7,0.9220183486238532,0.6834532374100719,0.9202898550724637,0.9864077669902913,0.9522024367385192,95,44,7,508
0.8,0.918960244648318,0.6834532374100719,0.92,0.9825242718446602,0.9502347417840376,95,44,9,506
0.85,0.9204892966360856,0.697841726618705,0.923217550274223,0.9805825242718447,0.9510357815442562,97,42,10,505
0.9,0.926605504587156,0.7266187050359713,0.9300184162062615,0.9805825242718447,0.9546313799621928,101,38,10,505
0.95,0.9327217125382263,0.7553956834532374,0.9369202226345084,0.9805825242718447,0.9582542694497154,105,34,10,505
0.97,0.9311926605504587,0.7769784172661871,0.9417293233082706,0.9728155339805825,0.9570200573065902,108,31,14,501
0.99,0.9327217125382263,0.8057553956834532,0.9485714285714286,0.9669902912621359,0.9576923076923077,112,27,17,498
