frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
1,0.0333667,872,296,0.406917,880,280,0.422412,864,288,0.451201,864,344,0.500822,816,360,0.564045,856,312,0.401954,944,312,0.583028,968,384,0.287999,912,408,0.15209,904,440,0.337653,952,312,0.141308,0,0,0,952,440,0.272097,968,320,0.253145,1120,952,0.193666
5,0.166833,768,512,0.321302,744,464,0.279797,744,504,0.323899,744,496,0.254553,808,368,0.325535,752,424,0.240965,816,528,0.339797,856,552,0.149568,776,432,0.1389,800,768,0.237665,960,320,0.114303,0,0,0,888,736,0.184611,952,760,0.102448,1120,952,0.195165
10,0.333667,752,456,0.310302,752,432,0.286301,744,432,0.325368,768,600,0.292825,760,664,0.347963,752,424,0.201118,816,528,0.285929,816,496,0.148899,784,448,0.113742,800,776,0.253312,952,320,0.134457,0,0,0,896,744,0.201592,0,0,0,1120,952,0.19947
15,0.5005,784,488,0.346457,776,464,0.330732,776,488,0.335017,768,592,0.312608,752,664,0.261553,760,432,0.107644,848,552,0.338772,888,576,0.183882,880,584,0.111292,792,760,0.245315,960,320,0.127456,0,0,0,888,736,0.202567,0,0,0,1120,952,0.151342
20,0.667333,784,488,0.469312,784,480,0.444277,776,480,0.458796,760,504,0.302397,744,480,0.309382,752,432,0.20446,840,536,0.460938,904,576,0.183521,784,472,0.131581,792,736,0.341892,0,0,0,0,0,0,888,728,0.273586,960,768,0.115381,1120,944,0.364384
25,0.834167,760,432,0.167426,760,416,0.160287,800,584,0.156216,776,632,0.155118,752,648,0.152645,0,0,0,840,600,0.14014,0,0,0,0,0,0,784,736,0.14981,0,0,0,0,0,0,0,0,0,0,0,0,1120,952,0.22234
30,1.001,848,512,0.190998,800,592,0.145592,840,512,0.17373,792,608,0.160379,752,640,0.17486,0,0,0,848,592,0.147011,0,0,0,0,0,0,784,728,0.139381,0,0,0,1120,928,0.125885,0,0,0,0,0,0,1128,952,0.116396
35,1.16783,792,576,0.237746,792,568,0.204273,784,576,0.233223,768,616,0.247429,744,648,0.209606,776,656,0.108787,840,600,0.189748,888,616,0.112587,0,0,0,784,736,0.22581,0,0,0,1120,928,0.117538,872,728,0.14494,0,0,0,0,0,0
40,1.33467,848,464,0.132317,864,464,0.117873,856,472,0.107387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,936,0.144744,0,0,0,0,0,0,0,0,0
45,1.5015,0,0,0,832,416,0.111386,840,384,0.115857,856,416,0.176605,792,424,0.21121,800,416,0.130774,888,448,0.101358,928,384,0.130887,0,0,0,0,0,0,0,0,0,1104,944,0.158059,0,0,0,0,0,0,0,0,0
