frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
1,0.0333667,1040,168,0.896044,1048,160,0.923369,1016,160,0.898713,944,232,0.922609,912,312,0.953134,1040,272,0.595172,1112,224,0.934765,1200,320,0.843698,1088,288,0.805188,1008,416,0.872481,984,424,0.616644,1104,696,0.805347,1112,408,0.882798,1120,472,0.737046,1144,696,0.714561
5,0.166833,1040,168,0.909421,1048,160,0.924509,1016,160,0.907365,944,232,0.91637,912,312,0.961016,1040,272,0.578158,1112,224,0.92896,1192,312,0.83874,1088,288,0.817029,1008,408,0.871722,992,424,0.613949,1112,696,0.800368,1112,408,0.890863,1120,472,0.724624,1144,704,0.688942
10,0.333667,1040,168,0.90979,1048,160,0.92294,1016,160,0.89703,944,232,0.917196,912,312,0.963396,1048,272,0.57384,1112,224,0.923027,1200,312,0.853133,1088,288,0.810414,1008,416,0.873084,992,424,0.617941,1112,696,0.818085,1112,408,0.894757,1120,480,0.707852,1144,696,0.701978
15,0.5005,1040,168,0.893121,1048,160,0.91997,1016,160,0.8757,944,232,0.902195,912,312,0.935313,1040,272,0.576591,1112,224,0.935912,1200,312,0.853794,1088,288,0.811173,1008,408,0.87345,992,432,0.574672,1112,704,0.809388,1112,408,0.905301,1112,496,0.714217,1144,704,0.70239
20,0.667333,1016,168,0.924311,1032,160,0.882447,992,160,0.927045,944,232,0.905581,912,312,0.946117,1040,264,0.562646,1112,224,0.907797,1192,312,0.857908,1088,288,0.750299,1000,408,0.857795,1000,432,0.561595,1112,704,0.78623,1112,408,0.893993,1112,496,0.739099,1144,704,0.720611
25,0.834167,1016,168,0.914972,1032,160,0.875681,992,160,0.922871,944,240,0.915758,912,312,0.943748,1040,272,0.584809,1112,224,0.912366,1192,312,0.836177,1088,288,0.749705,1000,400,0.864123,992,432,0.602163,1112,704,0.80939,1120,400,0.882448,1112,504,0.753532,1144,704,0.701198
30,1.001,1016,168,0.913959,1032,160,0.8791,992,160,0.919525,944,240,0.919218,912,312,0.940548,1048,272,0.559251,1112,224,0.909557,1192,312,0.851873,1088,288,0.727294,1000,400,0.868236,992,432,0.587802,1112,704,0.809591,1120,400,0.889401,1112,504,0.764934,1144,704,0.695619
35,1.16783,1024,168,0.850639,1040,152,0.879283,1008,160,0.864171,952,240,0.936307,912,312,0.928297,1032,272,0.631113,1112,232,0.937421,1192,312,0.847441,1080,288,0.790709,1008,408,0.90385,992,440,0.602912,1112,696,0.827789,1120,408,0.880842,1120,496,0.748148,1144,696,0.716732
40,1.33467,1032,168,0.825237,1040,152,0.878383,1008,160,0.842015,952,240,0.937792,912,312,0.916409,1040,272,0.613663,1112,224,0.937827,1200,312,0.860188,1080,288,0.718439,1008,408,0.882152,1000,448,0.588404,1112,704,0.84445,1120,400,0.887603,1112,496,0.719714,1144,704,0.686506
45,1.5015,1032,168,0.824677,1040,152,0.872346,1008,160,0.839806,952,240,0.934037,912,312,0.920274,1040,272,0.636344,1112,232,0.943331,1200,312,0.855902,1088,288,0.760246,1008,408,0.887191,1000,448,0.578742,1112,704,0.831314,1120,408,0.878809,1112,496,0.718543,1144,704,0.699161
50,1.66833,1032,168,0.816755,1040,152,0.880201,1016,160,0.857837,952,240,0.912073,912,312,0.916857,1040,272,0.59776,1112,224,0.936168,1200,320,0.853109,1088,288,0.742704,1008,408,0.863012,992,432,0.669898,1112,696,0.833676,1120,400,0.891397,1112,488,0.669088,1144,696,0.698853
55,1.83517,1032,168,0.817228,1040,152,0.881845,1016,160,0.861853,952,240,0.908267,912,312,0.930867,1040,272,0.622716,1112,224,0.932381,1200,320,0.852494,1088,288,0.767911,1008,408,0.862749,1000,432,0.618766,1112,704,0.842902,1120,400,0.893762,1112,488,0.683049,1144,696,0.698136
60,2.002,1032,168,0.813882,1040,152,0.882919,1016,160,0.861874,952,240,0.915368,912,312,0.941058,1040,272,0.629016,1112,224,0.925761,1200,312,0.865371,1080,296,0.724736,1008,408,0.867867,1000,432,0.600903,1112,704,0.832492,1120,400,0.896662,1112,496,0.721101,1144,696,0.703789
65,2.16883,1000,176,0.776406,1008,160,0.845945,992,168,0.857489,952,240,0.964826,912,312,0.955974,1040,272,0.696257,1112,232,0.914615,1192,312,0.855854,1080,288,0.720596,1008,408,0.884731,992,432,0.660
