frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
1,0.0333667,712,408,0.941208,736,384,0.895554,704,384,0.946407,656,520,0.605669,592,656,0.354897,616,656,0.443844,896,488,0.775957,984,648,0.500607,928,576,0.506774,744,768,0.505423,0,0,0,0,0,0,888,752,0.51235,0,0,0,0,0,0
5,0.166833,712,408,0.939998,736,384,0.894385,704,392,0.908468,664,520,0.535498,608,648,0.338596,640,648,0.430781,896,488,0.719793,960,624,0.426381,976,688,0.264129,744,768,0.45981,0,0,0,0,0,0,888,736,0.509417,0,0,0,0,0,0
10,0.333667,712,408,0.780287,736,384,0.768609,704,392,0.738652,680,504,0.257274,624,624,0.168943,648,688,0.20184,880,488,0.392434,960,640,0.196755,960,688,0.135076,744,736,0.248453,0,0,0,0,0,0,888,720,0.298498,0,0,0,0,0,0
15,0.5005,720,408,0.940541,744,384,0.911018,704,384,0.940313,680,504,0.450989,624,608,0.143721,0,0,0,896,488,0.764642,984,648,0.701797,904,576,0.456795,736,744,0.268904,0,0,0,0,0,0,896,736,0.443369,0,0,0,0,0,0
20,0.667333,712,416,0.968385,744,384,0.90947,696,392,0.946373,664,520,0.632605,616,624,0.331806,624,680,0.327357,896,488,0.754166,984,648,0.609472,896,576,0.344624,720,736,0.356414,0,0,0,0,0,0,888,736,0.373376,0,0,0,0,0,0
25,0.834167,712,416,0.97551,744,384,0.910368,696,392,0.946121,656,520,0.692934,600,648,0.400041,624,688,0.486613,896,488,0.776137,992,648,0.746855,904,584,0.376507,720,728,0.499286,752,872,0.108587,0,0,0,896,744,0.528639,0,0,0,0,0,0
30,1.001,712,416,0.904778,744,384,0.896505,696,392,0.858096,696,504,0.305653,616,616,0.140067,0,0,0,896,488,0.693797,992,648,0.689867,896,584,0.382305,752,752,0.141132,0,0,0,0,0,0,888,736,0.241441,0,0,0,0,0,0
35,1.16783,720,400,0.81748,736,384,0.843912,712,384,0.778403,712,512,0.212139,656,448,0.141406,0,0,0,904,496,0.587243,992,640,0.621248,880,568,0.270005,736,752,0.157963,0,0,0,0,0,0,880,752,0.287022,0,0,0,0,0,0
40,1.33467,720,408,0.907035,744,384,0.920285,712,384,0.915089,672,504,0.421842,624,608,0.262483,640,680,0.36106,896,496,0.697973,992,640,0.630043,896,568,0.288289,736,728,0.489487,0,0,0,0,0,0,896,736,0.620763,912,944,0.116434,0,0,0
45,1.5015,720,400,0.782329,744,384,0.826399,720,384,0.788126,696,456,0.260549,656,448,0.172778,648,696,0.217354,872,480,0.36159,984,648,0.156178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1.66833,720,400,0.842076,736,384,0.857967,712,384,0.823216,688,480,0.355983,600,624,0.202153,664,688,0.468755,880,488,0.527355,968,640,0.283013,0,0,0,736,720,0.255466,0,0,0,0,0,0,880,704,0.336707,0,0,0,0,0,0
55,1.83517,720,400,0.813878,736,384,0.813287,712,384,0.763999,680,496,0.297846,600,632,0.249816,656,688,0.464157,880,488,0.468164,976,640,0.345326,944,560,0.114055,728,728,0.244644,0,0,0,0,0,0,888,728,0.314532,0,0,0,0,0,0
60,2.002,720,400,0.935465,744,376,0.896861,704,384,0.892721,656,520,0.634573,608,640,0.463279,664,680,0.61372,896,488,0.791897,992,632,0.743821,888,560,0.493171,736,736,0.461805,736,832,0.104106,0,0,0,896,736,0.556205,0,0,0,0,0,0
65,2.16883,720,400,0.877953,736,376,0.846242,712,384,0.815893,672,512,0.399218,624,624,0.268358,656,688,0.335617,888,488,0.646206,984,624,0.470634,912,576,0.256073,728,728,0.228966,0,0,0,0,0,0,896,720,0.260916,0,0,0,0,0,0
70,2.33567,720,392,0.472899,736,384,0.466639,720,392,0.37935,0,0,0,608,624,0.152742,656,688,0.306821,880,488,0.13994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2.5025,720,392,0.403293,736,376,0.401274,720,384,0.312928,0,0,0,624,624,0.109405,680,688,0.223999,872,488,0.125546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2.66933,720,400,0.901513,736,376,0.897969,712,384,0.860758,656,520,0.62886,608,624,0.538801,680,680,0.741151,864,480,0.557571,928,536,0.275661,832,552,0.210105,720,704,0.240208,0,0,0,0,0,0,848,672,0.106375,0,0,0,0,0,0
85,2.83617,720,400,0.762224,736,376,0.76983,720,384,0.698228,704,488,0.255852,624,624,0.180378,664,680,0.294159,888,496,0.378698,976,640,0.207881,0,0,0,752,720,0.151602,0,0,0,0,0,0,880,744,0.106358,0,0,0,0,0,0
90,3.003,720,400,0.8267,736,384,0.800562,712,392,0.750917,696,496,0.374199,608,608,0.30447,688,648,0.696104,896,488,0.618303,984,624,0.504979,832,552,0.381321,752,680,0.287949,888,568,0.336108,848,744,0.140741,880,656,0.122805,0,0,0,824,704,0.18047
95,3.16983,712,400,0.942021,744,376,0.904631,704,376,0.990373,648,520,0.753758,616,632,0.666872,696,624,0.748231,912,488,0.791578,984,632,0.678767,960,608,0.336571,728,704,0.427482,888,568,0.415547,856,752,0.148115,880,688,0.240231,880,584,0.125789,824,728,0.240263
100,3.33667,712,400,0.954123,736,376,0.885113,704,384,0.982147,656,520,0.718536,608,640,0.515006,696,592,0.680837,904,496,0.805369,976,632,0.580712,832,544,0.344777,736,752,0.346724,888,560,0.134185,0,0,0,904,736,0.458981,0,0,0,0,0,0
105,3.5035,712,400,0.956768,736,376,0.888127,696,384,0.9881,664,520,0.690805,592,640,0.417322,616,664,0.635984,912,496,0.819456,992,640,0.79965,888,560,0.381705,736,768,0.464144,0,0,0,0,0,0,912,768,0.543148,0,0,0,0,0,0
110,3.67033,712,400,0.95275,744,376,0.901756,696,384,0.937162,672,520,0.584755,608,624,0.374913,680,592,0.217919,896,488,0.769178,984,648,0.74695,912,560,0.404444,744,760,0.428031,0,0,0,0,0,0,904,744,0.450278,0,0,0,0,0,0
115,3.83717,720,400,0.928805,744,376,0.908293,704,384,0.897344,688,480,0.480161,640,576,0.208852,672,440,0.14084,896,488,0.763896,984,632,0.836098,896,552,0.683901,744,704,0.321205,0,0,0,0,0,0,896,728,0.429256,0,0,0,0,0,0
120,4.004,720,400,0.928172,744,376,0.916053,704,376,0.918338,680,504,0.479161,624,608,0.292186,688,592,0.305088,896,488,0.715111,976,632,0.679693,896,552,0.360428,736,752,0.46719,0,0,0,0,0,0,896,744,0.489628,0,0,0,0,0,0
125,4.17083,720,400,0.862203,736,384,0.87394,704,384,0.795112,696,496,0.375629,648,408,0.169981,624,608,0.223738,904,496,0.685168,976,640,0.705213,904,560,0.496758,736,752,0.33368,0,0,0,0,0,0,904,736,0.452638,0,0,0,0,0,0
130,4.33767,720,408,0.922405,736,384,0.906375,704,392,0.880811,688,488,0.496127,632,600,0.239156,656,592,0.104539,896,496,0.789212,976,640,0.835188,904,560,0.592179,728,760,0.471341,0,0,0,0,0,0,896,752,0.567665,0,0,0,0,0,0
135,4.5045,720,400,0.778082,744,384,0.815368,720,384,0.726961,712,488,0.274964,664,520,0.208459,0,0,0,896,496,0.606673,976,640,0.774231,904,568,0.515598,736,752,0.289105,0,0,0,0,0,0,896,744,0.373918,0,0,0,0,0,0
140,4.67133,712,400,0.855329,736,384,0.863931,704,384,0.805918,688,496,0.39657,632,584,0.210055,616,616,0.108256,896,496,0.639699,968,640,0.664796,896,560,0.40164,736,760,0.331128,0,0,0,0,0,0,896,752,0.407687,0,0,0,0,0,0
145,4.83817,728,400,0.36123,744,384,0.38118,712,392,0.313157,0,0,0,520,688,0.210763,616,624,0.261373,0,0,0,952,624,0.110744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5.005,720,408,0.950182,744,384,0.918626,704,392,0.918216,672,504,0.494622,528,688,0.325342,632,632,0.471594,896,496,0.706519,976,640,0.792397,896,560,0.660392,736,776,0.372672,0,0,0,0,0,0,896,752,0.493303,0,0,0,0,0,0
155,5.17183,728,416,0.944261,752,384,0.959939,712,392,0.928403,664,520,0.560125,528,680,0.386244,624,640,0.597967,888,488,0.74813,968,640,0.623312,912,568,0.483699,712,768,0.455418,760,944,0.100757,0,0,0,896,760,0.536693,936,912,0.106466,0,0,0
160,5.33867,736,424,0.90372,752,392,0.903677,712,400,0.865862,680,512,0.550976,608,640,0.287354,600,656,0.478048,896,496,0.761416,976,640,0.624127,920,568,0.469394,728,768,0.556424,760,936,0.137145,0,0,0,888,752,0.674184,928,936,0.216112,0,0,0
165,5.5055,736,416,0.790117,752,392,0.815919,720,400,0.722775,688,504,0.429007,632,616,0.263074,608,648,0.472889,896,496,0.63047,968,632,0.448411,984,704,0.178297,720,768,0.460054,824,944,0.110307,0,0,0,888,752,0.570674,928,928,0.163517,0,0,0
170,5.67233,736,400,0.749147,752,384,0.725011,720,392,0.702326,672,520,0.402475,528,688,0.267579,608,648,0.414783,896,496,0.614125,960,640,0.427797,912,576,0.441592,736,768,0.429008,0,0,0,0,0,0,888,752,0.583244,920,936,0.115532,0,0,0
175,5.83917,736,400,0.625299,752,384,0.654773,720,392,0.577301,664,536,0.514561,584,656,0.327416,608,648,0.555851,896,496,0.555964,960,640,0.468835,904,552,0.495812,728,768,0.557805,816,944,0.101596,0,0,0,888,752,0.59756,904,912,0.115612,0,0,0
180,6.006,728,400,0.940579,752,368,0.944569,712,376,0.97348,648,536,0.781373,536,680,0.628357,616,640,0.739309,896,488,0.82657,968,648,0.758107,912,552,0.626051,728,784,0.612713,808,944,0.188731,0,0,0,896,760,0.702539,936,936,0.218338,0,0,0
185,6.17283,728,400,0.92819,752,376,0.951546,712,384,0.934584,656,528,0.677849,536,680,0.453129,608,648,0.61094,896,488,0.787108,968,640,0.630468,904,560,0.665128,736,776,0.632605,840,952,0.129514,0,0,0,888,744,0.670779,928,944,0.121034,0,0,0
190,6.33967,720,400,0.965952,752,376,0.950482,704,384,0.939633,656,528,0.780304,528,680,0.556953,608,656,0.634837,896,496,0.795214,968,640,0.622137,920,568,0.399301,736,784,0.65903,824,952,0.23216,0,0,0,896,760,0.700549,936,936,0.281466,0,0,0
195,6.5065,728,408,0.959639,752,384,0.953987,704,384,0.957224,648,536,0.737999,528,680,0.624575,608,648,0.742899,896,496,0.813642,976,648,0.851414,912,552,0.706466,728,792,0.620144,824,952,0.19063,0,0,0,896,768,0.741757,944,936,0.273707,0,0,0
