segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,178.553,422.486,3.641,6.006,1.001,0.139431
10.01,200.791,23.1631,2.6009,10.5105,0.5005,0.204177
15.015,203.368,20.7157,1.6002,15.5155,0.5005,0.165747
20.02,201.302,20.0896,1.5417,20.5205,0.5005,0.550591
25.025,202.353,34.0192,1.9254,25.5255,0.5005,0.257242
30.03,200.242,28.3217,1.854,30.5305,0.5005,0.495814
35.035,210.607,32.9409,1.6006,35.5355,0.5005,0.252548
40.04,216.851,26.7429,2.3534,40.5405,0.5005,0.186221
45.045,192.706,32.0787,2.2436,45.0784,0.0333667,0.220089
50.05,207.486,24.7529,2.4037,50.2168,0.166833,0.596064
55.055,222.956,33.3436,2.1549,55.422,0.367033,0.639553
60.06,207.319,19.0628,1.7685,60.5605,0.5005,0.518521
