frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
1,0.0333667,928,304,0.874848,952,280,0.881503,912,280,0.934736,832,312,0.829902,792,440,0.495029,816,400,0.683047,1032,312,0.89205,1112,448,0.85731,984,448,0.694965,888,520,0.724242,928,680,0.43906,1032,872,0.193068,1032,528,0.837064,1064,696,0.429098,1120,840,0.236791
5,0.166833,936,304,0.894179,952,280,0.903574,920,280,0.954679,832,312,0.84318,792,440,0.546252,816,408,0.644817,1032,312,0.89298,1112,448,0.835146,1000,456,0.592683,888,520,0.766812,920,672,0.44495,1024,872,0.18211,1032,520,0.837501,1056,696,0.393644,1120,848,0.208467
10,0.333667,936,304,0.898564,952,280,0.915811,912,280,0.935554,832,312,0.847213,800,456,0.616112,824,400,0.709114,1032,312,0.871401,1112,440,0.757502,1040,480,0.510244,888,520,0.768942,928,672,0.430674,1024,872,0.181813,1032,520,0.819155,1056,688,0.386472,1120,840,0.210186
15,0.5005,936,296,0.902421,952,280,0.957372,920,280,0.956663,840,320,0.845612,792,448,0.602165,832,384,0.685646,1032,312,0.878478,1104,416,0.718224,1072,480,0.772666,888,520,0.662614,928,664,0.310888,968,856,0.114978,1024,512,0.73572,1056,680,0.332772,1072,808,0.180965
20,0.667333,944,272,0.357516,952,264,0.361715,928,264,0.370131,888,312,0.247447,840,328,0.240443,816,376,0.262965,1024,312,0.213529,1056,360,0.109723,0,0,0,888,448,0.268322,0,0,0,0,0,0,984,456,0.121994,0,0,0,0,0,0
25,0.834167,944,272,0.187929,952,264,0.170846,936,264,0.167832,880,320,0.11095,824,320,0.115255,0,0,0,0,0,0,0,0,0,0,0,0,896,440,0.105648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.001,944,264,0.135964,952,264,0.126019,928,264,0.133408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.16783,928,288,0.876462,944,272,0.878091,912,272,0.920919,848,320,0.824603,808,416,0.447911,824,408,0.22848,1032,312,0.764065,1096,408,0.522505,1080,480,0.653196,888,528,0.510103,936,704,0.152396,0,0,0,1040,528,0.614903,1064,696,0.24392,0,0,0
40,1.33467,928,288,0.859915,952,272,0.864165,912,272,0.926365,856,312,0.803454,808,408,0.436604,824,400,0.246313,1032,312,0.758208,1104,416,0.571317,1080,480,0.662043,896,528,0.466323,928,704,0.155027,0,0,0,1040,528,0.596686,1072,696,0.225757,0,0,0
45,1.5015,928,288,0.849369,952,272,0.851729,912,272,0.923679,864,312,0.729013,816,392,0.372634,816,416,0.214915,1032,320,0.730231,1096,408,0.479491,1080,480,0.543686,896,520,0.45842,936,712,0.146908,0,0,0,1040,528,0.596343,1064,696,0.21259,0,0,0
