segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,291.051,251.938,2.829,6.006,1.001,0.644522
10.01,289.141,25.8079,2.014,10.5105,0.5005,0.568886
15.015,271.54,32.1388,2.1208,15.5155,0.5005,0.545307
20.02,214.808,35.4517,2.3162,20.5205,0.5005,0.405063
25.025,216.816,26.8352,2.9477,25.5255,0.5005,0.624556
30.03,210.432,30.338,1.4701,30.5305,0.5005,0.400914
35.035,202.383,34.1861,2.2064,35.3353,0.3003,0.401993
40.04,208.308,28.5003,1.9565,40.5405,0.5005,0.33774
45.045,213.254,36.7775,2.9882,45.5455,0.5005,0.34892
50.05,195.097,34.7123,1.7342,50.5505,0.5005,0.658511
55.055,219.115,26.4871,2.0328,55.5555,0.5005,0.498195
60.06,249.342,37.1628,2.5748,60.5605,0.5005,0.317574
65.065,262.682,21.8651,2.3086,65.5655,0.5005,0.486646
70.07,216.856,21.0021,2.0492,70.5705,0.5005,0.407622
75.075,218.074,34.2221,2.143,75.5755,0.5005,0.386559
80.08,199.769,22.5894,1.6764,80.5805,0.5005,0.567412
85.085,207.07,23.6099,1.5348,85.5855,0.5005,0.209354
