segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,296.905,389.827,2.6704,6.006,1.001,0.644522
10.01,291.156,30.9238,1.8153,10.5105,0.5005,0.568886
15.015,268.288,23.9267,2.1186,15.5155,0.5005,0.545307
20.02,207.259,34.7311,2.2146,20.5205,0.5005,0.405063
25.025,212.287,35.3577,2.3342,25.5255,0.5005,0.624556
30.03,201.258,23.9234,2.0808,30.5305,0.5005,0.400914
35.035,195.472,23.2666,1.7836,35.5355,0.5005,0.401993
40.04,192.789,21.2121,1.4651,40.5405,0.5005,0.33774
45.045,200.56,20.6928,2.3876,45.4454,0.4004,0.34892
50.05,203.233,34.1241,1.6565,50.5505,0.5005,0.658511
55.055,231.026,34.5318,1.7836,55.5555,0.5005,0.498195
60.06,217.265,24.6885,2.0471,60.5605,0.5005,0.317574
65.065,215.507,22.9247,2.1903,65.5655,0.5005,0.486646
70.07,217.89,33.3376,1.749,70.5705,0.5005,0.407622
75.075,191.441,23.0794,2.03,75.5755,0.5005,0.386559
80.08,217.069,29.4011,2.0848,80.5805,0.5005,0.567412
85.085,206.092,29.5932,2.004,85.5855,0.5005,0.209354
