frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
1,0.0333667,904,208,0.978095,912,192,0.951603,904,192,0.92541,944,256,0.843919,896,264,0.642917,1016,192,0.320701,1024,208,0.963559,1056,288,0.589436,872,280,0.674139,1008,384,0.682737,1008,512,0.373214,984,680,0.168201,1056,352,0.871217,1032,512,0.618385,1000,680,0.875472
5,0.166833,904,208,0.966679,912,192,0.948249,904,192,0.927072,944,256,0.852484,888,264,0.6565,1000,248,0.298303,1024,208,0.955117,1056,288,0.657078,872,280,0.627803,1008,392,0.678166,1000,512,0.315979,816,480,0.172246,1056,352,0.86569,1032,512,0.623933,992,680,0.901094
10,0.333667,896,200,0.961802,912,192,0.936825,904,192,0.911473,944,256,0.844457,888,264,0.624629,1000,248,0.29739,1024,216,0.951287,1056,288,0.678698,872,288,0.608259,1000,392,0.705338,1000,512,0.289144,992,416,0.130992,1056,360,0.821588,1032,512,0.65164,992,688,0.925572
15,0.5005,896,200,0.954855,912,184,0.940814,904,184,0.896706,944,256,0.84871,888,264,0.635093,1008,240,0.32518,1024,216,0.947069,1056,288,0.665057,880,288,0.610499,1008,392,0.716845,992,512,0.255119,816,480,0.159702,1056,360,0.834608,1032,512,0.627332,992,688,0.899401
20,0.667333,904,208,0.951901,912,192,0.961959,912,192,0.955829,944,256,0.794028,888,256,0.701995,1000,248,0.409929,1032,216,0.969987,1056,280,0.661055,880,280,0.564297,1016,392,0.666363,1000,512,0.280791,992,408,0.106844,1056,352,0.81808,1032,520,0.57884,992,688,0.866232
25,0.834167,904,208,0.951924,912,192,0.95904,912,192,0.967305,936,256,0.816462,888,264,0.69406,1008,240,0.374574,1024,216,0.949167,1056,280,0.676049,880,288,0.560205,1000,392,0.671093,1008,512,0.204994,816,480,0.243835,1056,360,0.790557,1032,512,0.593228,992,688,0.884299
30,1.001,904,208,0.955125,912,192,0.960218,912,192,0.968144,936,256,0.821544,888,256,0.706151,1008,248,0.376827,1024,216,0.951503,1064,280,0.681439,880,288,0.553762,1000,392,0.660242,1000,512,0.192035,816,480,0.23306,1056,360,0.797934,1032,512,0.613683,992,688,0.887801
35,1.16783,896,200,0.945817,912,184,0.945436,904,184,0.909619,928,256,0.854354,896,288,0.611728,992,248,0.340317,1032,208,0.951374,1064,280,0.77118,880,280,0.525226,1000,392,0.647,1008,520,0.284034,816,480,0.297752,1056,360,0.806668,1032,512,0.575279,1000,688,0.8602
40,1.33467,896,200,0.943574,912,184,0.930274,912,184,0.908239,936,248,0.8304,896,288,0.625598,992,248,0.367364,1032,216,0.946364,1064,288,0.737922,872,280,0.566914,1000,392,0.640569,792,376,0.411749,816,488,0.358338,1056,360,0.819761,1032,512,0.622194,992,688,0.875416
45,1.5015,896,200,0.93814,912,184,0.924844,912,184,0.898917,936,248,0.833104,896,288,0.631008,992,248,0.339693,1032,216,0.951704,1064,288,0.729388,880,288,0.529229,1000,392,0.658236,800,376,0.307693,816,488,0.338168,1056,360,0.815891,1032,512,0.610042,992,688,0.882268
50,1.66833,904,208,0.964582,912,192,0.945821,904,192,0.943792,936,256,0.848518,896,288,0.605762,1000,240,0.305921,1024,216,0.95515,1064,280,0.745832,872,280,0.591558,1000,392,0.643055,800,368,0.418325,816,480,0.433838,1056,360,0.821821,1032,512,0.608175,992,688,0.895552
55,1.83517,904,208,0.974487,912,192,0.949025,904,192,0.944651,936,256,0.853417,896,296,0.615772,1000,240,0.316678,1024,216,0.940441,1064,288,0.706688,872,280,0.610775,1000,392,0.65432,808,368,0.452559,816,480,0.442772,1056,360,0.825532,1032,512,0.625004,992,688,0.903463
60,2.002,904,208,0.971709,912,192,0.944708,904,192,0.943699,936,248,0.84943,888,264,0.595616,992,248,0.311543,1032,216,0.939318,1064,288,0.726767,864,280,0.620703,1000,392,0.636788,800,368,0.514185,816,480,0.493424,1056,360,0.827945,1024,512,0.67287,992,688,0.906396
65,2.16883,896,200,0.966389,904,184,0.963095,896,192,0.930645,936,256,0.845774,896,296,0.641436,1000,240,0.32001,1032,208,0.936266,1064,288,0.674646,880,280,0.575105,992,392,0.635044,808,360,0.44352,816,480,0.493306,1056,360,0.832947,1024,504,0.704355,1000,688,0.916171
70,2.33567,896,200,0.973375,904,184,0.964324,896,192,0.935254,928,248,0.865524,896,296,0.624035,1000,240,0.301217,1032,216,0.938837,1064,288,0.688655,872,280,0.572516,992,392,0.629688,808,360,0.413747,816,480,0.474362,1056,360,0.822073,1032,504,0.688616,1000,688,0.910612
75,2.5025,896,200,0.971501,904,184,0.958626,904,192,0.920403,928,248,0.8485,888,264,0.636595,1000,240,0.350421,1032,208,0.94388,1064,288,0.673491,872,280,0.564523,992,392,0.63981,1008,512,0.340508,816,480,0.323076,1056,360,0.819105,1032,512,0.659799,1000,688,0.892883
80,2.66933,896,200,0.964033,904,184,0.951876,896,192,0.917554,928,248,0.842193,888,256,0.757473,1008,240,0.439707,1032,208,0.9485,1064,280,0.593882,864,288,0.596479,1000,392,0.661116,1016,512,0.339687,816,480,0.280615,1056,360,0.78729,1032,512,0.680049,1000,688,0.901716
85,2.83617,896,200,0.958412,904,184,0.957297,904,184,0.925081,928,248,0.830843,888,256,0.736996,1000,240,0.404538,1024,208,0.943139,1072,280,0.553333,872,280,0.590228,992,392,0.644757,1016,512,0.356941,816,480,0.267566,1056,360,0.762264,1032,512,0.700351,992,688,0.890116
90,3.003,896,200,0.957771,904,184,0.955245,904,184,0.922709,928,248,0.836184,880,256,0.701757,1000,240,0.423465,1032,208,0.937658,1072,280,0.572138,872,280,0.575703,992,392,0.637261,792,376,0.339209,816,480,0.313707,1056,360,0.766744,1032,512,0.678986,992,688,0.892604
95,3.16983,896,200,0.950927,904,184,0.942582,904,184,0.903556,944,248,0.783914,888,256,0.760796,1016,184,0.316401,1032,208,0.940093,1064,280,0.551139,872,280,0.604376,1008,392,0.672066,1008,504,0.404128,816,480,0.231367,1056,352,0.784517,1032,512,0.589408,992,688,0.886089
100,3.33667,896,200,0.952562,904,184,0.935283,904,184,0.908659,944,248,0.800575,880,256,0.752096,1016,192,0.280593,1032,208,0.931189,1064,288,0.592842,872,280,0.555446,1008,392,0.64358,1008,512,0.406578,816,480,0.208759,1056,360,0.765111,1032,512,0.560305,1000,688,0.859987
105,3.5035,896,200,0.953361,904,184,0.937377,904,184,0.918774,936,248,0.814862,880,256,0.762683,1016,192,0.274528,1032,208,0.92461,1064,288,0.632701,880,280,0.552866,1000,392,0.654447,1008,512,0.390399,816,480,0.191335,1056,360,0.761193,1032,512,0.599316,992,688,0.885997
110,3.67033,904,200,0.948184,912,192,0.916537,912,192,0.897246,936,248,0.819554,888,256,0.692304,1016,184,0.290137,1024,208,0.95249,1064,280,0.650624,872,272,0.439324,1000,384,0.638281,1008,512,0.363945,816,480,0.403637,1056,352,0.767791,1032,512,0.570984,992,688,0.871185
115,3.83717,904,200,0.946433,912,192,0.922464,912,192,0.897407,936,248,0.827936,888,256,0.691679,1016,184,0.308548,1024,208,0.958186,1064,280,0.624445,872,272,0.491781,1000,384,0.652459,1016,512,0.34792,816,480,0.274702,1056,352,0.767521,1032,520,0.535315,1000,688,0.852504
120,4.004,904,200,0.943826,912,192,0.926615,912,192,0.908667,936,248,0.816028,896,264,0.666321,1016,184,0.311764,1024,208,0.964926,1064,280,0.589829,872,272,0.58341,1008,384,0.66242,1008,512,0.384129,816,480,0.223325,1056,352,0.783037,1032,520,0.512506,1000,688,0.8406
125,4.17083,904,208,0.963096,912,192,0.934067,904,192,0.906584,944,256,0.865366,904,296,0.68486,1024,192,0.30369,1024,208,0.931503,1064,280,0.658773,880,280,0.617657,1016,392,0.66595,1008,512,0.4119,816,480,0.199631,1056,352,0.817908,1032,520,0.527177,992,688,0.841759
130,4.33767,904,208,0.965781,912,192,0.934216,904,192,0.915908,944,256,0.875386,904,304,0.680198,1024,192,0.292592,1024,208,0.934961,1072,280,0.638619,880,280,0.609471,1008,392,0.671241,1008,512,0.396461,816,480,0.225377,1056,352,0.811265,1032,520,0.568014,992,688,0.843643
135,4.5045,904,208,0.971672,912,192,0.930108,912,200,0.912736,944,256,0.86118,888,264,0.67424,1000,248,0.319194,1024,208,0.938985,1064,280,0.582052,880,280,0.561085,1000,392,0.676308,1008,512,0.301398,816,480,0.306535,1056,352,0.79689,1032,512,0.625013,1000,688,0.876717
140,4.67133,904,208,0.932155,912,192,0.912967,912,192,0.879169,944,256,0.820342,888,256,0.692582,1016,192,0.335557,1024,208,0.94012,992,296,0.47052,872,280,0.663212,1000,392,0.680453,1008,512,0.316303,824,488,0.295503,1056,352,0.792771,1032,512,0.630592,1000,688,0.884306
145,4.83817,896,200,0.922735,912,192,0.899335,912,192,0.870302,936,248,0.809618,888,256,0.704513,1016,208,0.34615,1024,216,0.94255,1064,280,0.535231,872,280,0.634489,1000,392,0.666377,1008,512,0.355162,816,480,0.232111,1056,360,0.767656,1032,512,0.591198,1000,688,0.855281
150,5.005,904,200,0.914254,912,192,0.905793,912,192,0.872382,936,256,0.810831,888,256,0.680649,1016,208,0.309428,1032,208,0.929656,1072,272,0.573241,880,280,0.564974,1000,392,0.705517,1000,512,0.404358,984,672,0.193919,1056,360,0.767553,1032,512,0.624924,1000,688,0.874016
155,5.17183,904,200,0.957596,912,184,0.960088,912,192,0.919434,936,256,0.834094,880,256,0.69886,1008,240,0.326904,1024,208,0.946287,1064,280,0.594059,864,280,0.589726,1000,392,0.663535,1008,520,0.330088,816,480,0.304677,1056,360,0.795144,1032,512,0.639888,992,688,0.857901
160,5.33867,904,200,0.94808,912,192,0.950644,904,192,0.922407,936,256,0.815658,880,256,0.643861,1000,240,0.363332,1024,208,0.960839,1064,280,0.612674,864,280,0.635058,1000,384,0.667586,1008,520,0.324012,808,480,0.240566,1056,352,0.822742,1032,520,0.578571,1000,688,0.822969
165,5.5055,904,200,0.949966,912,184,0.952693,904,184,0.91314,928,248,0.81954,880,256,0.662038,1008,240,0.366153,1024,208,0.940206,1064,280,0.613417,872,280,0.608475,1000,384,0.68454,1008,520,0.326563,808,480,0.268684,1056,352,0.804982,1032,520,0.602324,1000,688,0.852139
170,5.67233,904,200,0.949952,912,192,0.956919,912,192,0.91878,936,248,0.814624,888,256,0.733429,1000,248,0.303405,1032,216,0.94038,1064,280,0.667961,872,280,0.523297,1000,392,0.660008,1008,512,0.402029,816,480,0.196627,1056,352,0.770232,1032,512,0.581097,1000,688,0.867353
